resynth_path,model,category,method,grouping,pair,instrument,alpha,distance
./results_reordered/finetuned_from_30k_for_30k/output/vn_fl/alpha_100,finetuned_from_30k_for_30k,output,output,,vn_fl,,alpha_100,0.20287102460861206
./results_reordered/finetuned_from_30k_for_30k/output/fl_vn/alpha_0,finetuned_from_30k_for_30k,output,output,,fl_vn,,alpha_0,0.24625825881958008
./results_reordered/finetuned_from_30k_for_30k/output/fl_vn/alpha_25,finetuned_from_30k_for_30k,output,output,,fl_vn,,alpha_25,0.19462251663208008
./results_reordered/finetuned_from_30k_for_30k/output/fl_vn/alpha_50,finetuned_from_30k_for_30k,output,output,,fl_vn,,alpha_50,0.16272467374801636
./results_reordered/finetuned_from_30k_for_30k/output/fl_vn/alpha_75,finetuned_from_30k_for_30k,output,output,,fl_vn,,alpha_75,0.1343424916267395
./results_reordered/finetuned_from_30k_for_30k/output/fl_vn/alpha_100,finetuned_from_30k_for_30k,output,output,,fl_vn,,alpha_100,0.1264270544052124
./results_reordered/finetuned_from_30k_for_30k/weights/vn_tpt/alpha_0,finetuned_from_30k_for_30k,weights,weights,,vn_tpt,,alpha_0,0.08204740285873413
./results_reordered/finetuned_from_30k_for_30k/weights/vn_tpt/alpha_25,finetuned_from_30k_for_30k,weights,weights,,vn_tpt,,alpha_25,0.08787000179290771
./results_reordered/finetuned_from_30k_for_30k/weights/vn_tpt/alpha_50,finetuned_from_30k_for_30k,weights,weights,,vn_tpt,,alpha_50,0.14524012804031372
./results_reordered/finetuned_from_30k_for_30k/weights/vn_tpt/alpha_75,finetuned_from_30k_for_30k,weights,weights,,vn_tpt,,alpha_75,0.21184778213500977
./results_reordered/finetuned_from_30k_for_30k/weights/vn_tpt/alpha_100,finetuned_from_30k_for_30k,weights,weights,,vn_tpt,,alpha_100,0.25687193870544434
./results_reordered/finetuned_from_30k_for_30k/weights/tpt_vn/alpha_0,finetuned_from_30k_for_30k,weights,weights,,tpt_vn,,alpha_0,0.28998225927352905
./results_reordered/finetuned_from_30k_for_30k/weights/tpt_vn/alpha_25,finetuned_from_30k_for_30k,weights,weights,,tpt_vn,,alpha_25,0.24604791402816772
./results_reordered/finetuned_from_30k_for_30k/weights/tpt_vn/alpha_50,finetuned_from_30k_for_30k,weights,weights,,tpt_vn,,alpha_50,0.1904924511909485
./results_reordered/finetuned_from_30k_for_30k/weights/tpt_vn/alpha_75,finetuned_from_30k_for_30k,weights,weights,,tpt_vn,,alpha_75,0.15257668495178223
./results_reordered/finetuned_from_30k_for_30k/weights/tpt_vn/alpha_100,finetuned_from_30k_for_30k,weights,weights,,tpt_vn,,alpha_100,0.12000364065170288
./results_reordered/finetuned_from_30k_for_30k/weights/vn_fl/alpha_0,finetuned_from_30k_for_30k,weights,weights,,vn_fl,,alpha_0,0.08165383338928223
./results_reordered/finetuned_from_30k_for_30k/weights/vn_fl/alpha_25,finetuned_from_30k_for_30k,weights,weights,,vn_fl,,alpha_25,0.059143245220184326
./results_reordered/finetuned_from_30k_for_30k/weights/vn_fl/alpha_50,finetuned_from_30k_for_30k,weights,weights,,vn_fl,,alpha_50,0.09194773435592651
./results_reordered/finetuned_from_30k_for_30k/weights/vn_fl/alpha_75,finetuned_from_30k_for_30k,weights,weights,,vn_fl,,alpha_75,0.15076005458831787
./results_reordered/finetuned_from_30k_for_30k/weights/vn_fl/alpha_100,finetuned_from_30k_for_30k,weights,weights,,vn_fl,,alpha_100,0.20346975326538086
./results_reordered/finetuned_from_30k_for_30k/weights/fl_vn/alpha_0,finetuned_from_30k_for_30k,weights,weights,,fl_vn,,alpha_0,0.2457389235496521
./results_reordered/finetuned_from_30k_for_30k/weights/fl_vn/alpha_25,finetuned_from_30k_for_30k,weights,weights,,fl_vn,,alpha_25,0.21143102645874023
./results_reordered/finetuned_from_30k_for_30k/weights/fl_vn/alpha_50,finetuned_from_30k_for_30k,weights,weights,,fl_vn,,alpha_50,0.16787570714950562
./results_reordered/finetuned_from_30k_for_30k/weights/fl_vn/alpha_75,finetuned_from_30k_for_30k,weights,weights,,fl_vn,,alpha_75,0.13131099939346313
./results_reordered/finetuned_from_30k_for_30k/weights/fl_vn/alpha_100,finetuned_from_30k_for_30k,weights,weights,,fl_vn,,alpha_100,0.12653660774230957
